IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
IpAddress,93.115.27.148,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,108.62.118.190,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,158.69.36.149,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,181.231.81.239,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,185.8.105.67,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,185.8.105.103,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,185.8.105.112,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,185.247.71.106,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,186.111.136.37,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
IpAddress,192.53.123.202,,Block,Informational,Hive Ransomware IOC,"Hive ransomware follows the ransomware-as-a-service (RaaS) model in which developers create, maintain, and update the malware, and affiliates conduct the ransomware attacks. From June 2021 through at least November 2022, threat actors have used Hive ransomware to target a wide range of businesses and critical infrastructure sectors, including Government Facilities, Communications, Critical Manufacturing, Information Technology, and especially Healthcare and Public Health (HPH).",Exection blocked. No action required.,,APT,"T1133,T1190,T1566.001,T1059,T1070,T1112,T1562,T1537,T1486,T1490",FALSE
